"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1487158287674777680",="1487158287674777680","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443000376",="null","238.39","238.39","退款成功","238.39","2022-02-12 23:58:57","2022-02-12 23:59:05"
="2465745014646533040",="2465745014646533040","Love to dream 婴儿睡袋襁褓新生儿保暖睡袋防惊跳投降式睡袋","499.00","1","9343443002257","颜色分类：浅紫色 (秋冬季保暖款) 2.5TOG;长度：【建议大一码】M码：6-8.5kg (约3-6个月)","null","null","交易关闭","9343443002257",="null","204.63","204.63","退款成功","204.63","2022-02-12 23:36:15","2022-02-12 23:36:18"
="2465385589806130110",="2465385589806130110","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 23:32:45","2022-02-12 23:32:49"
="2466336495401066424",="2466336495401066424","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002257","颜色分类：浅紫色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","等待买家付款","9343443002257",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-12 23:16:12",""
="2464242192588468946",="2464242192588468946","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","258.39","258.39","没有申请退款","无退款申请","2022-02-12 23:00:24","2022-02-12 23:00:29"
="1487021809282115893",="1487021809282115893","Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","买家已付款，等待卖家发货","9343443005340",="null","306.52","306.52","没有申请退款","无退款申请","2022-02-12 22:47:50","2022-02-12 22:48:04"
="2465323777278027730",="2465323777278027730","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443100953","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443100953",="null","287.00","287.00","没有申请退款","无退款申请","2022-02-12 22:45:46","2022-02-12 22:46:00"
="1486162956950115893",="1486162956950115893","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 22:45:01","2022-02-12 22:45:25"
="2466274791428765501",="2466274791428765501","Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","买家已付款，等待卖家发货","9343443005340",="null","306.52","306.52","没有申请退款","无退款申请","2022-02-12 22:33:53","2022-02-12 22:34:00"
="2465630462593446210",="2465630462593446210","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443004787",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-12 22:19:58","2022-02-12 22:20:02"
="1487113611538280091",="1487113611538280091","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002042","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443002042",="null","123.63","123.63","没有申请退款","无退款申请","2022-02-12 22:17:18","2022-02-12 22:18:05"
="1486147080092400384",="1486147080092400384","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443100953","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443100953",="null","244.66","244.66","没有申请退款","无退款申请","2022-02-12 22:13:45","2022-02-12 22:13:51"
="2466228711653041261",="2466228711653041261","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443000376",="null","247.00","247.00","退款成功","247.00","2022-02-12 22:05:42","2022-02-12 22:05:47"
="1486140672150780484",="1486140672150780484","lovetodream过渡期竹纤维四季通用款襁褓防惊跳投降式睡袋","509.00","1","9343443101721","颜色分类：灰色星月（竹纤维四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443101721",="null","315.02","291.40","没有申请退款","无退款申请","2022-02-12 22:02:10","2022-02-12 22:02:17"
="1486138620894184877",="1486138620894184877","Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443006026","颜色分类：浅紫色(秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","交易关闭","9343443006026",="null","181.16","181.16","退款成功","181.16","2022-02-12 22:01:20","2022-02-12 22:01:33"
="1487099859723222977",="1487099859723222977","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","284.06","284.06","没有申请退款","无退款申请","2022-02-12 21:53:47","2022-02-12 21:53:52"
="2466198939814615434",="2466198939814615434","Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","买家已付款，等待卖家发货","9343443005340",="null","316.00","316.00","没有申请退款","无退款申请","2022-02-12 21:48:54","2022-02-12 21:48:57"
="2464110900550935816",="2464110900550935816","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","178.19","178.19","没有申请退款","无退款申请","2022-02-12 21:40:44","2022-02-12 21:40:48"
="1486982317356249793",="1486982317356249793","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443000840",="null","315.02","315.02","没有申请退款","无退款申请","2022-02-12 21:36:09","2022-02-12 21:36:22"
="1486118460273912296",="1486118460273912296","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002257","颜色分类：浅紫色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443002257",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-12 21:25:18","2022-02-12 21:25:25"
="1487083443118319996",="1487083443118319996","Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","买家已付款，等待卖家发货","9343443005340",="null","274.96","274.96","没有申请退款","无退款申请","2022-02-12 21:24:19","2022-02-12 21:24:26"
="1487017058949878086",="1487017058949878086","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","138.27","138.27","没有申请退款","无退款申请","2022-02-12 21:20:29","2022-02-12 21:20:32"
="2465521058200361635",="2465521058200361635","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002042","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443002042",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-12 21:17:53","2022-02-12 21:18:01"
="2466142707282808971",="2466142707282808971","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","交易关闭","9343443000321",="null","283.15","283.15","退款成功","283.15","2022-02-12 21:17:09","2022-02-12 21:17:12"
="2466136335113464528",="2466136335113464528","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000345",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 21:13:21","2022-02-12 21:13:25"
="2465152633039643014",="2465152633039643014","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000345",="null","246.87","246.87","没有申请退款","无退款申请","2022-02-12 21:11:48","2022-02-12 21:11:55"
="1487010938535848491",="1487010938535848491","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002042","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443002042",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-12 21:07:45","2022-02-12 21:07:53"
="2466103359260034835",="2466103359260034835","lovetodream婴儿睡袋过渡期独立睡眠期四季通用款防踢被分腿睡袋","569.00","1","9343443003704","颜色分类：蓝色（四季通用款）1.0 TOG;长度：【建议大一码】Size 2码：24-36个月","null","null","买家已付款，等待卖家发货","9343443003704",="null","237.77","237.77","没有申请退款","无退款申请","2022-02-12 20:57:08","2022-02-12 20:57:11"
="2465105545492009555",="2465105545492009555","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000345",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 20:50:17","2022-02-12 20:50:30"
="2465451398565970259",="2465451398565970259","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","246.78","246.78","没有申请退款","无退款申请","2022-02-12 20:43:22","2022-02-12 20:43:27"
="2466015483592386714",="2466015483592386714","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443000840",="null","315.02","315.02","没有申请退款","无退款申请","2022-02-12 20:14:56","2022-02-12 20:15:04"
="2465395022080233218",="2465395022080233218","lovetodream婴儿睡袋一体式分腿宝宝睡袋防踢被连体睡袋哈衣爬服","329.00","1","9343443102346","颜色分类：灰色;长度：【尺码详询客服】XL码：11-14kg (约12-18个月)","null","null","买家已付款，等待卖家发货","9343443102346",="null","237.24","237.24","没有申请退款","无退款申请","2022-02-12 20:14:41","2022-02-12 20:14:45"
="2463936264613233218",="2463936264613233218","lovetodream婴儿睡袋一体式分腿宝宝睡袋防踢被连体睡袋哈衣爬服","329.00","1","9343443102346","颜色分类：灰色;长度：【尺码详询客服】XL码：11-14kg (约12-18个月)","null","null","交易关闭","9343443102346",="null","257.24","257.24","退款成功","257.24","2022-02-12 20:11:45","2022-02-12 20:11:50"
="2463929280009883562",="2463929280009883562","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443100953","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443100953",="null","247.00","247.00","没有申请退款","无退款申请","2022-02-12 20:06:35","2022-02-12 20:06:41"
="2463900624928963043",="2463900624928963043","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000345",="null","287.00","287.00","没有申请退款","无退款申请","2022-02-12 19:54:51","2022-02-12 19:55:00"
="2464992073129864131",="2464992073129864131","Love to dream新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【蓝色m码暂不发货，勿拍】M码：6-8.5kg（约3-6个月）","null","口水巾","买家已付款，等待卖家发货","9343443000376",="null","228.39","228.39","没有申请退款","无退款申请","2022-02-12 19:53:36","2022-02-12 19:53:45"
="1487027247912787794",="1487027247911787794","lovetodream婴儿睡袋襁褓分腿睡袋四季通用款防惊跳投降式睡袋","499.00","1","9343443005494","颜色分类：粉红色（四季通用款） 1.0TOG;长度：【建议大一码】M码：6-8.5kg (约3-6个月)","null","null","买家已付款，等待卖家发货","9343443005494",="null","348.23","348.23","没有申请退款","无退款申请","2022-02-12 19:51:18","2022-02-12 19:51:24"
="1487027247913787794",="1487027247911787794","lovetodream婴儿睡袋一体式分腿宝宝睡袋防踢被连体睡袋哈衣爬服","329.00","1","9343443100649","颜色分类：兔子花色;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","买家已付款，等待卖家发货","9343443100649",="null","250.26","250.26","没有申请退款","无退款申请","2022-02-12 19:51:18","2022-02-12 19:51:24"
="2463883272776302463",="2463883272776302463","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000369","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","买家已付款，等待卖家发货","9343443000369",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-12 19:47:39","2022-02-12 19:47:46"
="1486957658312049994",="1486957658312049994","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","281.49","281.49","没有申请退款","无退款申请","2022-02-12 19:37:44","2022-02-12 19:37:52"
="1486054524054179581",="1486054524054179581","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443100915","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443100915",="null","238.39","220.52","没有申请退款","无退款申请","2022-02-12 19:37:20","2022-02-12 19:37:46"
="2463857316757391225",="2463857316756391225","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 19:33:38","2022-02-12 19:33:49"
="2463857316758391225",="2463857316756391225","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-12 19:33:38","2022-02-12 19:33:49"
="1486955246290729680",="1486955246290729680","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000307","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","买家已付款，等待卖家发货","9343443000307",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-12 19:33:34","2022-02-12 19:33:38"
="1486909417296987881",="1486909417296987881","Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443006026","颜色分类：浅紫色(秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","等待买家付款","9343443006026",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-12 19:31:34",""
="2463823116983554273",="2463823116983554273","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","283.32","283.32","没有申请退款","无退款申请","2022-02-12 19:18:20","2022-02-12 19:18:28"
="1486018560478810680",="1486018560478810680","lovetodream过渡期竹纤维四季通用款襁褓防惊跳投降式睡袋","509.00","1","9343443009621","颜色分类：灰色波点（竹纤维四季通用款）1.0TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","买家已付款，等待卖家发货","9343443009621",="null","343.68","343.68","没有申请退款","无退款申请","2022-02-12 18:40:45","2022-02-12 18:40:50"
="2464797673697153453",="2464797673697153453","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","139.00","139.00","没有申请退款","无退款申请","2022-02-12 18:22:50","2022-02-12 18:22:56"
="2464745041951940452",="2464745041951940452","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443100915","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443100915",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-12 18:00:42","2022-02-12 18:00:46"
="2464718725063673953",="2464718725063673953","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000857","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443000857",="null","315.15","315.15","没有申请退款","无退款申请","2022-02-12 17:46:59","2022-02-12 17:47:05"
="1486843393349740377",="1486843393349740377","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443004787",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-12 17:46:59","2022-02-12 17:47:03"
="2463594660133826209",="2463594660133826209","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-12 17:32:59","2022-02-12 17:33:06"
="2463578280242440118",="2463578280242440118","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","179.00","179.00","没有申请退款","无退款申请","2022-02-12 17:26:11","2022-02-12 17:26:16"
="1486933287876853275",="1486933287876853275","Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443006026","颜色分类：浅紫色(秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","卖家已发货，等待买家确认","9343443006026",="null","225.89","225.89","没有申请退款","无退款申请","2022-02-12 17:22:25","2022-02-12 17:22:37"
="1486927095889678480",="1486927095889678480","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-12 17:13:39","2022-02-12 17:13:45"
="2464634305123762044",="2464634305123762044","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","283.36","283.36","没有申请退款","无退款申请","2022-02-12 17:10:29","2022-02-12 17:10:56"
="2464633405060855671",="2464633405060855671","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000345",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-12 17:09:51","2022-02-12 17:10:03"
="2465604111451096372",="2465604111451096372","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443000840",="null","332.40","332.40","没有申请退款","无退款申请","2022-02-12 17:06:02","2022-02-12 17:06:06"
="2464918994274273069",="2464918994274273069","Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443005340",="null","266.52","246.54","没有申请退款","无退款申请","2022-02-12 16:39:35","2022-02-12 16:39:39"
="2464551721754551552",="2464551721754551552","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000345",="null","286.97","286.97","没有申请退款","无退款申请","2022-02-12 16:35:40","2022-02-12 16:42:40"
="2463449724203506112",="2463449724203506112","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","卖家已发货，等待买家确认","9343443000321",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 16:30:43","2022-02-12 16:30:47"
="2465496435114450729",="2465496435114450729","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000314","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000314",="null","283.24","283.24","没有申请退款","无退款申请","2022-02-12 16:16:51","2022-02-12 16:16:57"
